plot_order,LAT,LON,H_LI, FILLED
133,-66.0947,-61.9329,54.01432,54.03036
134,-66.09452,-61.93284,54.01101,54.03036
135,-66.09434,-61.93279,54.00468,54.03036
136,-66.09416,-61.93274,54.00326,54.03036
137,-66.09399,-61.93269,53.99947,54.03036
138,-66.09381,-61.93264,54.00579,54.03036
139,-66.09363,-61.93259,53.98962,54.03036
140,-66.09345,-61.93254,53.98402,54.03036
141,-66.09328,-61.93249,53.97247,54.03036
142,-66.0931,-61.93244,53.95181,54.03036
143,-66.09292,-61.93239,53.95551,54.03036
144,-66.09274,-61.93234,53.93837,54.03036
145,-66.09257,-61.93229,53.9134,54.03036
146,-66.09239,-61.93224,53.89503,54.03036
147,-66.09221,-61.93219,53.87655,54.03036
148,-66.09203,-61.93214,53.85716,54.03036
149,-66.09186,-61.93209,53.85752,54.03036
150,-66.09168,-61.93204,53.86778,54.03036
151,-66.0915,-61.93199,53.86978,54.03036
152,-66.09132,-61.93195,53.84919,54.03036
153,-66.09115,-61.9319,53.84648,54.03036
154,-66.09097,-61.93185,53.85012,54.03036
155,-66.09079,-61.9318,53.83227,54.03036
156,-66.09061,-61.93175,53.84048,54.03036
157,-66.09044,-61.9317,53.86019,54.03036
158,-66.09026,-61.93165,53.87642,54.03036
159,-66.09008,-61.9316,53.88675,54.03036
160,-66.0899,-61.93154,53.89697,54.03036
161,-66.08973,-61.93149,53.91359,54.03036
162,-66.08955,-61.93144,53.94014,54.03036
163,-66.08937,-61.93139,53.95027,54.03036
164,-66.08919,-61.93134,53.9523,54.03036
165,-66.08902,-61.93129,53.98485,54.03036
166,-66.08884,-61.93124,54.03302,54.03302
167,-66.08866,-61.93119,54.05575,54.05575
168,-66.08848,-61.93114,54.0343,54.05575
169,-66.08831,-61.93109,54.0189,54.05575
170,-66.08813,-61.93104,54.0403,54.05575
171,-66.08795,-61.93099,54.08197,54.08197
172,-66.08777,-61.93094,54.10479,54.10479
173,-66.0876,-61.93089,54.08347,54.10479
174,-66.08742,-61.93084,54.05909,54.10479
175,-66.08724,-61.93079,54.03959,54.10479
176,-66.08706,-61.93074,54.03418,54.10479
177,-66.08689,-61.93069,54.04356,54.10479
178,-66.08671,-61.93064,54.03408,54.10479
179,-66.08653,-61.9306,54.0131,54.10479
180,-66.08635,-61.93055,54.01414,54.10479
181,-66.08618,-61.9305,54.03065,54.10479
182,-66.086,-61.93045,54.01363,54.10479
183,-66.08582,-61.93039,53.98719,54.10479
184,-66.08564,-61.93034,53.96747,54.10479
185,-66.08547,-61.93029,53.94538,54.10479
186,-66.08529,-61.93024,53.9268,54.10479
187,-66.08511,-61.93018,53.92907,54.10479
188,-66.08494,-61.93013,53.90081,54.10479
189,-66.08476,-61.93008,53.88564,54.10479
190,-66.08458,-61.93003,53.88964,54.10479
191,-66.0844,-61.92998,53.89469,54.10479
192,-66.08423,-61.92993,53.90272,54.10479
193,-66.08405,-61.92988,53.89558,54.10479
194,-66.08387,-61.92984,53.87695,54.10479
195,-66.08369,-61.92979,53.85352,54.10479
196,-66.08352,-61.92974,53.82891,54.10479
197,-66.08334,-61.92969,53.85586,54.10479
198,-66.08316,-61.92964,53.90558,54.10479
199,-66.08298,-61.92959,53.92093,54.10479
200,-66.0828,-61.92954,53.92723,54.10479
201,-66.08262,-61.92949,53.96717,54.10479
202,-66.08245,-61.92944,53.99949,54.10479
203,-66.08227,-61.92939,53.99395,54.10479
204,-66.0821,-61.92934,54.00764,54.10479
