plot_order,LAT,LON,H_LI,LEVEL-1
133,-66.14652,-61.94748,129.92921,129.92921
134,-66.14634,-61.94743,129.40431,129.40431
135,-66.14616,-61.94738,128.85255,128.85255
136,-66.14598,-61.94733,128.27229,128.27229
137,-66.14581,-61.94728,127.73257,127.73257
138,-66.14563,-61.94724,127.2006,127.2006
139,-66.14545,-61.94719,126.63284,126.63284
140,-66.14527,-61.94714,126.08271,126.08271
141,-66.14509,-61.94709,125.51058,125.51058
142,-66.14492,-61.94704,124.91143,124.91143
143,-66.14474,-61.94699,124.34126,124.34126
144,-66.14456,-61.94694,123.76515,123.76515
145,-66.14439,-61.94689,123.16341,123.16341
146,-66.14421,-61.94683,122.5712,122.5712
147,-66.14403,-61.94678,121.98882,121.98882
148,-66.14385,-61.94673,121.39155,121.39155
149,-66.14368,-61.94668,120.79282,120.79282
150,-66.1435,-61.94663,120.16109,120.16109
151,-66.14332,-61.94658,119.50219,119.50219
152,-66.14314,-61.94653,118.83794,118.83794
153,-66.14297,-61.94649,118.17385,118.17385
154,-66.14279,-61.94644,117.51796,117.51796
155,-66.14261,-61.94639,116.89745,116.89745
156,-66.14243,-61.94634,116.26389,116.26389
157,-66.14226,-61.94629,115.56001,115.56001
158,-66.14208,-61.94624,114.8735,114.8735
159,-66.1419,-61.94619,114.22612,114.22612
160,-66.14172,-61.94614,113.57505,113.57505
161,-66.14155,-61.94609,112.89716,112.89716
162,-66.14137,-61.94603,112.19586,112.19586
163,-66.14119,-61.94598,111.50719,111.50719
164,-66.14101,-61.94593,110.8055,110.8055
165,-66.14084,-61.94588,110.08269,110.08269
166,-66.14066,-61.94583,109.38907,109.38907
167,-66.14048,-61.94578,108.68202,108.68202
168,-66.1403,-61.94574,107.97296,107.97296
169,-66.14013,-61.94569,107.26769,107.26769
170,-66.13995,-61.94564,106.5603,106.5603
171,-66.13977,-61.94559,105.85817,105.85817
172,-66.13959,-61.94554,105.12196,105.12196
173,-66.13942,-61.94549,104.39022,104.39022
174,-66.13924,-61.94544,103.66746,103.66746
175,-66.13906,-61.94539,102.94888,102.94888
176,-66.13888,-61.94534,102.2042,102.2042
177,-66.13871,-61.94529,101.46004,101.46004
178,-66.13853,-61.94524,100.69382,100.69382
179,-66.13835,-61.94519,99.95667,99.95667
180,-66.13817,-61.94514,99.25649,99.25649
181,-66.138,-61.94509,98.49741,98.49741
182,-66.13782,-61.94504,97.72879,97.72879
183,-66.13764,-61.94499,96.98763,96.98763
184,-66.13746,-61.94494,96.24645,96.24645
185,-66.13729,-61.94489,95.47365,95.47365
186,-66.13711,-61.94484,94.68748,94.68748
187,-66.13693,-61.94479,93.90714,93.90714
188,-66.13675,-61.94474,93.1018,93.1018
189,-66.13658,-61.94469,92.28826,92.28826
190,-66.1364,-61.94464,91.49826,91.49826
191,-66.13622,-61.94459,90.67239,90.67239
192,-66.13604,-61.94454,89.82806,89.82806
193,-66.13587,-61.94449,89.01507,89.01507
194,-66.13569,-61.94443,88.16916,88.16916
195,-66.13551,-61.94438,87.34318,87.34318
196,-66.13533,-61.94433,86.54325,86.54325
197,-66.13516,-61.94429,85.72575,85.72575
198,-66.13498,-61.94424,84.87317,84.87317
199,-66.1348,-61.94419,83.984,83.984
200,-66.13462,-61.94414,83.15322,83.15322
201,-66.13445,-61.94409,82.28952,82.28952
202,-66.13427,-61.94404,81.40865,81.40865
203,-66.13409,-61.94399,80.54547,80.54547
204,-66.13391,-61.94394,79.68111,79.68111
205,-66.13374,-61.94389,78.82788,78.82788
206,-66.13356,-61.94384,77.95071,77.95071
207,-66.13338,-61.94379,77.08834,77.08834
208,-66.1332,-61.94374,76.28223,76.28223
209,-66.13303,-61.94369,75.47192,75.47192
210,-66.13285,-61.94364,74.6371,74.6371
211,-66.13267,-61.94359,73.82096,73.82096
212,-66.13249,-61.94354,72.97927,72.97927
213,-66.13232,-61.94349,72.16357,72.16357
214,-66.13214,-61.94344,71.3905,71.3905
215,-66.13196,-61.94339,70.59798,70.59798
